probability_p,memory_counters,memory_percentage,mean_abs_error,std_abs_error,mean_rel_error_pct,std_rel_error_pct,missing_items,missing_items_pct
0.1,48.4,53.77777777777778,7.297777777777777,0.7553725268508166,99.70779629526557,7.928252480291347,41.6,46.22222222222223
0.2,64.4,71.55555555555556,5.657777777777778,0.2633497416360097,70.72960563482094,4.379872306674288,25.6,28.444444444444443
0.3,73.0,81.11111111111111,4.075555555555555,0.5032437987572765,49.81396546227573,4.485835994820224,17.0,18.88888888888889
0.4,80.0,88.88888888888889,3.1044444444444443,0.1759068215747848,40.87694072118507,1.2633148537346874,10.0,11.11111111111111
0.5,82.6,91.77777777777777,2.4311111111111114,0.1803152246675625,34.13501770699561,2.476385561458088,7.4,8.222222222222223
0.6,85.2,94.66666666666667,2.002222222222222,0.156410349820158,25.670357387215525,1.1060587784228497,4.8,5.333333333333333
0.7,88.0,97.77777777777777,1.722222222222222,0.08373974969518566,21.859426614175064,0.9603398688823166,2.0,2.2222222222222223
0.8,88.6,98.44444444444443,1.3422222222222222,0.05979388465366094,15.926070663569005,1.2105104903613808,1.4,1.5555555555555556
0.9,89.8,99.77777777777777,0.78,0.10456258094238749,7.7393387303699255,1.3110189469859097,0.2,0.2222222222222222
1.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
