top_k,num_counters,positions_preserved,total_positions,preservation_pct,exact_order,ss_order
5,10,0,5,0.0,"[2021, 2020, 2019, 2017, 2018]","[2009, 2016, 2008, 2015, 2006]"
10,20,6,10,60.0,"[2021, 2020, 2019, 2017, 2018, 2016, 2011, 2014, 2015, 2012]","[2021, 2020, 2019, 2017, 2009, 2016, 2018, 2014, 2001, 1972]"
