algorithm,mean_time_ms,std_time_ms,min_time_ms,max_time_ms
Exact Counter,0.07000999758020043,0.0053815516324802635,0.06649992428719997,0.08480006363242865
Approximate Counter (p=0.5),0.13585000997409225,0.011963294451867864,0.12699991930276155,0.16589998267591
Space-Saving (m=5),0.6316400016658008,0.04029005647826261,0.5964000010862947,0.7396999280899763
Space-Saving (m=10),0.6714200018905103,0.05291845836219236,0.632600043900311,0.810900004580617
Space-Saving (m=15),0.6244399934075773,0.01132236363545167,0.6129000103101134,0.649999943561852
Space-Saving (m=20),0.6264799972996116,0.0491076115797815,0.5862000398337841,0.7299999706447124
Space-Saving (m=30),0.5749500007368624,0.09388359399011209,0.5142000736668706,0.8428000146523118
Space-Saving (m=50),0.3935899934731424,0.00797691137792917,0.3834000090137124,0.4118999931961298
Space-Saving (m=90),0.13792000245302916,0.0023802281505158384,0.1362001057714224,0.14479993842542171
